Name,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23
Artichoke,Cabbage,Peas,Sunflower,,,,,,,,,,,,,,,,,,,,More To Come...
Arugula,Beans,Carrots,Cucumber,Dill,Lettuce,Onion,Spinach,,,,,,,,,,,,,,,,
Asparagus,Basil,Carrots,Dill,Marigold,Onion,Parsley,Spinach,Tomatoes,,,,,,,,,,,,,,,
Basil,Asparagus,Beans,Beets,Cabbage,Cilantro,Eggplant,Lemon (Meyer),Lemongrass,Marigold,Oregano,Peppers,Potato,Tomatoes,,,,,,,,,,
Beans,Arugula,Basil,Beets,Broccoli,Brussel Sprouts,Carrots,Cauliflower,Celery,Corn,Cucumber,Eggplant,Mint,Peas,Potato,Pumpkin,Rosemary,Squash,Strawberries,Swiss Chard,Tomatoes,Turnips,Watermelon,Zucchini
Beets,Basil,Beans,Broccoli,Brussel Sprouts,Cabbage,Cauliflower,Kale,Onion,Radish,Swiss Chard,,,,,,,,,,,,,
Blueberries,Parsley,Peppers,Potato,Radish,Thyme,,,,,,,,,,,,,,,,,,
Broccoli,Beans,Beets,Carrots,Chives,Cucumber,Dill,Garlic,Lettuce,Nasturtium,Onion,Potato,Rosemary,Sage,Spinach,Swiss Chard,Thyme,Turnips,,,,,,
Brussel Sprouts,Beans,Beets,Carrots,Celery,Lettuce,Onion,Peas,Potato,Radish,Spinach,Tomatoes,Turnips,,,,,,,,,,,
Cabbage,Artichoke,Basil,Beets,Celery,Lettuce,Mint,Onion,Potato,Radish,Spinach,Swiss Chard,Turnips,,,,,,,,,,,
Carrots,Arugula,Asparagus,Beans,Broccoli,Brussel Sprouts,Cauliflower,Chives,Leeks,Lettuce,Mint,Onion,Parsley,Peas,Peppers,Radish,Rosemary,Sage,,,,,,
Cauliflower,Beans,Beets,Carrots,Celery,Chives,Cucumber,Dill,Garlic,Lettuce,Mint,Nasturtium,Onion,Potato,Radish,Rosemary,Sage,Spinach,Swiss Chard,Thyme,Turnips,,,
Celery,Beans,Brussel Sprouts,Cabbage,Cauliflower,Kale,Leeks,Onion,Potato,Spinach,Tomatoes,Turnips,,,,,,,,,,,,
Chives,Broccoli,Carrots,Cauliflower,Parsley,Strawberries,Tomatoes,,,,,,,,,,,,,,,,,
Cilantro,Basil,Lemon (Meyer),Lemongrass,Mint,,,,,,,,,,,,,,,,,,,
Corn,Beans,Cucumber,Dill,Melon,Parsley,Peas,Potato,Pumpkin,Squash,Sunflower,Watermelon,Zucchini,,,,,,,,,,,
Cucumber,Arugula,Beans,Broccoli,Cauliflower,Corn,Dill,Kale,Lentil,Lettuce,Nasturtium,Onion,Peas,Peppers,Radish,Sunflower,Tomatoes,,,,,,,
Dill,Arugula,Asparagus,Broccoli,Cauliflower,Corn,Cucumber,Kale,Lettuce,Onion,Squash,Zucchini,,,,,,,,,,,,
Eggplant,Basil,Beans,Marigold,Mint,Peas,Peppers,Potato,Spinach,Thyme,Tomatoes,,,,,,,,,,,,,
Garlic,Broccoli,Cauliflower,Kale,Lettuce,Potato,Strawberries,Tomatoes,Turnips,Zucchini,,,,,,,,,,,,,,
Kale,Beets,Celery,Cucumber,Dill,Garlic,Lettuce,Mint,Nasturtium,Onion,Potato,Radish,Rosemary,Sage,Spinach,Sunflower,Swiss Chard,,,,,,,
Leeks,Carrots,Celery,Onion,Spinach,,,,,,,,,,,,,,,,,,,
Lemon (Meyer),Basil,Cilantro,Parsley,Peas,Rosemary,Thyme,,,,,,,,,,,,,,,,,
Lemongrass,Basil,Cilantro,Lime (Dwarf),Marigold,Mint,Thyme,,,,,,,,,,,,,,,,,
Lentil,Cucumber,Potato,,,,,,,,,,,,,,,,,,,,,
Lettuce,Arugula,Broccoli,Brussel Sprouts,Cabbage,Carrots,Cauliflower,Cucumber,Dill,Garlic,Kale,Onion,Potato,Radish,Spinach,Squash,Strawberries,Sunflower,Tomatoes,Turnips,,,,
Lime (Dwarf),Lemongrass,Marigold,Mint,Nasturtium,Parsley,Peas,Rosemary,Sage,Thyme,,,,,,,,,,,,,,
Marigold,Asparagus,Basil,Eggplant,Lemongrass,Lime (Dwarf),Melon,Mint,Potato,Pumpkin,Squash,Tangerine (Dwarf),Tomatoes,Watermelon,Zucchini,,,,,,,,,
Melon,Corn,Marigold,Nasturtium,Pumpkin,Squash,Sunflower,,,,,,,,,,,,,,,,,
Mint,Beans,Cabbage,Carrots,Cauliflower,Cilantro,Eggplant,Kale,Lemongrass,Lime (Dwarf),Marigold,Oregano,Peas,Tomatoes,,,,,,,,,,
Nasturtium,Broccoli,Cauliflower,Cucumber,Kale,Lime (Dwarf),Melon,Pumpkin,Squash,Tangerine (Dwarf),Tomatoes,Watermelon,Zucchini,,,,,,,,,,,
Onion,Arugula,Asparagus,Beets,Broccoli,Brussel Sprouts,Cabbage,Carrots,Cauliflower,Celery,Cucumber,Dill,Kale,Leeks,Lettuce,Parsley,Potato,Strawberries,Sunflower,Swiss Chard,Tomatoes,Turnips,,
Oregano,Basil,Mint,Peppers,Pumpkin,Squash,Watermelon,Zucchini,,,,,,,,,,,,,,,,
Parsley,Asparagus,Blueberries,Carrots,Chives,Corn,Lemon (Meyer),Lime (Dwarf),Onion,Peas,Peppers,Tangerine (Dwarf),Tomatoes,,,,,,,,,,,
Peas,Artichoke,Beans,Brussel Sprouts,Carrots,Corn,Cucumber,Eggplant,Lemon (Meyer),Lime (Dwarf),Mint,Parsley,Peppers,Potato,Spinach,Squash,Strawberries,Tangerine (Dwarf),Turnips,Zucchini,,,,
Peppers,Basil,Blueberries,Carrots,Cucumber,Eggplant,Oregano,Parsley,Peas,Rosemary,Squash,Sunflower,Swiss Chard,Tomatoes,,,,,,,,,,
Potato,Basil,Beans,Blueberries,Broccoli,Brussel Sprouts,Cabbage,Cauliflower,Celery,Corn,Eggplant,Garlic,Kale,Lentil,Lettuce,Marigold,Onion,Peas,Radish,Spinach,Thyme,Watermelon,,
Pumpkin,Beans,Corn,Marigold,Melon,Nasturtium,Oregano,Squash,,,,,,,,,,,,,,,,
Radish,Beets,Blueberries,Brussel Sprouts,Cabbage,Carrots,Cauliflower,Chives,Cucumber,Kale,Lettuce,Spinach,Squash,Watermelon,Zucchini,,,,,,,,,
Rosemary,Beans,Broccoli,Carrots,Cauliflower,Kale,Lemon (Meyer),Lime (Dwarf),Peppers,,,,,,,,,,,,,,,
Sage,Broccoli,Carrots,Cauliflower,Kale,Lime (Dwarf),Strawberries,,,,,,,,,,,,,,,,,
Spinach,Arugula,Asparagus,Broccoli,Brussel Sprouts,Cabbage,Cauliflower,Celery,Eggplant,Kale,Leeks,Lettuce,Peas,Potato,Radish,Strawberries,Sunflower,Turnips,,,,,,
Squash,Beans,Corn,Dill,Lettuce,Marigold,Melon,Nasturtium,Oregano,Peas,Peppers,Pumpkin,Radish,Strawberries,Sunflower,Turnips,,,,,,,,
Strawberries,Beans,Chives,Garlic,Lettuce,Onion,Peas,Sage,Spinach,Squash,Thyme,,,,,,,,,,,,,
Sunflower,Artichoke,Corn,Cucumber,Kale,Lettuce,Melon,Onion,Peppers,Spinach,Squash,Tomatoes,Zucchini,,,,,,,,,,,
Swiss Chard,Beans,Beets,Broccoli,Cabbage,Cauliflower,Kale,Onion,Peppers,,,,,,,,,,,,,,,
Tangerine (Dwarf),Marigold,Nasturtium,Parsley,Peas,,,,,,,,,,,,,,,,,,,
Thyme,Blueberries,Broccoli,Cauliflower,Eggplant,Lemongrass,Lime (Dwarf),Potato,Strawberries,,,,,,,,,,,,,,,
Tomatoes,Asparagus,Basil,Beans,Brussel Sprouts,Celery,Chives,Cucumber,Eggplant,Garlic,Lemon (Meyer),Lettuce,Marigold,Mint,Nasturtium,Onion,Parsley,Peppers,Sunflower,Turnips,,,,
Turnips,Beans,Broccoli,Brussel Sprouts,Cabbage,Cauliflower,Celery,Garlic,Lettuce,Onion,Peas,Spinach,Squash,Swiss Chard,Tomatoes,,,,,,,,,
Watermelon,Beans,Corn,Marigold,Nasturtium,Oregano,Potato,Radish,,,,,,,,,,,,,,,,
Zucchini,Beans,Corn,Dill,Garlic,Marigold,Nasturtium,Oregano,Peas,Radish,Sunflower,,,,,,,,,,,,,
